aeid,ae_addr
1,1022
2,102d
3,1038
4,1044
5,1072
6,1093
7,10b4
8,10d0
9,1160
10,11cc
11,1258
12,1294
13,12fc
14,131f
15,1328
16,135c
17,13c7
18,13ce
19,13d8
20,13dc
21,1414
22,144c
23,1508
24,15c8
25,1684
26,16e4
27,178f
28,1794
29,182e
30,1841
31,184c
32,186c
33,1884
34,18f8
35,193a
36,1948
37,194d
38,1952
39,1962
40,1966
41,1984
42,1994
43,1999
44,199e
45,19b0
46,19b5
47,19ba
48,19c7
49,19d0
50,19f6
51,1a04
52,1a2c
53,1f64
54,1f9c
55,1fd8
56,2078
57,2108
58,228c
59,22e0
60,2345
61,2398
62,2850
63,2a14
64,2a78
65,2b8c
66,2c08
67,2cf0
68,2fc4
69,307c
70,3174
71,3268
72,32e8
73,33e4
74,34e0
75,34f0
76,3510
77,3530
78,3560
79,3590
80,35a0
81,35c0
82,3c40
83,46a0
84,4b70
85,5080
86,5390
87,53d0
88,53ff
89,5403
90,5412
91,5430
92,545f
93,5463
94,5479
95,547c
96,5670
97,5c10
98,64d0
99,6890
100,6c90
101,6f60
102,6f90
103,6fbc
104,6fc0
105,6fcf
106,6fe0
107,700c
108,7010
109,7026
110,702c
111,71e0
112,7704
113,7830
114,7870
115,78a0
116,78e0
117,7950
118,79c0
119,7a30
120,7aa0
121,7b10
122,7b80
123,7bf0
124,7c60
125,7cd0
126,7d40
127,7db0
128,7e20
129,7e90
130,7f00
131,7f70
132,7fe0
133,8050
134,80c0
135,80f0
136,8130
137,8140
138,8180
139,8190
140,8200
141,8270
142,82e0
143,8360
144,83a0
145,83d0
146,8410
147,8440
148,84c0
149,8540
150,85c0
151,8640
152,86c0
153,8740
154,87c0
155,8840
156,88c0
157,8940
158,89c0
159,8a40
160,8ab0
161,8b20
162,8b90
163,8c00
164,8c70
165,8ce0
166,8d50
167,8dc0
168,8e30
169,8ea0
170,8f10
171,8f80
172,8ff0
173,9060
174,90d0
175,9140
176,91b0
177,9220
178,9290
179,9300
180,9370
181,93e0
182,9450
183,94c0
184,9530
185,95a0
186,9610
187,9680
188,96f0
189,9760
190,97d0
191,9840
192,98b0
193,9920
194,9990
195,9a00
196,9a70
197,9ae0
198,9b50
199,9bc0
200,9c30
201,9ca0
202,9d10
203,9d80
204,9dc0
205,9e00
206,9e30
207,9ea0
208,9f20
209,9fa0
210,a020
211,a0a0
212,a120
213,a1a0
214,a220
215,a2a0
216,a320
217,a3a0
218,a420
219,a4a0
220,a520
221,a590
222,a600
223,a670
224,a6e0
225,a750
226,a7c0
227,a830
228,a8a0
229,a910
230,a980
231,a9f0
232,aa60
233,aad0
234,ab40
235,abb0
236,ac20
237,ac90
238,ad00
239,ad70
240,ade0
241,ae50
242,aec0
243,af30
244,afa0
245,afd0
246,b050
247,b0d0
248,b140
249,b150
250,b160
251,b1d0
252,b240
253,b2b0
254,b320
255,b360
256,b390
257,b400
258,b470
259,b4e0
260,b550
261,b5c0
262,b630
263,b6a0
264,b710
265,b790
266,b810
267,b890
268,b910
269,b990
270,ba10
271,ba90
272,bb10
273,bb90
274,bc10
275,bc90
276,bd10
277,bd90
278,be10
279,be90
280,bf10
281,bf90
282,c010
283,c090
284,c110
285,c190
286,c200
287,c280
288,c2f0
289,c360
290,c3d0
291,c440
292,c4b0
293,c520
294,c590
295,c600
296,c670
297,c6e0
298,c750
299,c7c0
300,c830
301,c8a0
302,c910
303,c980
304,c9f0
305,ca60
306,cad0
307,cb40
308,cbb0
309,cc20
310,cc90
311,cd00
312,cd30
313,cd60
314,cd90
315,cdc0
316,cdf0
317,ce20
318,ce50
319,ce80
320,ceb0
321,cee0
322,cf10
323,cf40
324,cf70
325,cfa0
326,cfd0
327,d000
328,d030
329,d060
330,d090
331,d0c0
332,d0f0
333,d120
334,d150
335,d180
336,d1b0
337,d1e0
338,d210
339,d240
340,d270
341,d2a0
342,d2d0
343,d300
344,d330
345,d360
346,d390
347,d3c0
348,d3f0
349,d420
350,d450
351,d480
352,d4b0
353,d4e0
354,d510
355,d540
356,d570
357,d5a0
358,d5d0
359,d600
360,d630
361,d660
362,d690
363,d6c0
364,d6f0
365,d720
366,d750
367,d780
368,d7f0
369,d860
370,d870
371,d880
372,d890
373,d940
374,d970
375,d9e0
376,da50
377,dac0
378,db30
379,dba0
380,dc10
381,dc80
382,dcf0
383,dd60
384,ddd0
385,de40
386,deb0
387,df20
388,df60
389,dfd0
390,e040
391,e0b0
392,e120
393,e190
394,e1d0
395,e210
396,e280
397,e2c0
398,e330
399,e3a0
400,e3d0
401,e400
402,e440
403,e480
404,e4f0
405,e570
406,e5f0
407,e670
408,e6f0
409,e760
410,e7e0
411,e860
412,e8d0
413,e950
414,e9d0
415,ea50
416,ead0
417,eb50
418,eb80
419,ebc0
420,ebd0
421,ebe0
422,ec10
423,ec80
424,ecc0
425,ed00
426,ed40
427,edc0
428,ee40
429,eec0
430,ef40
431,efc0
432,f040
433,f0c0
434,f140
435,f1c0
436,f1f0
437,f260
438,f2d0
439,f300
440,f330
441,f3a0
442,f410
443,f480
444,f4f0
445,f560
446,f5d0
447,f640
448,f680
449,f6c0
450,f700
451,f740
452,f780
453,f7c0
454,f830
455,f860
456,f870
457,f8a0
458,f8d0
459,f940
460,f9b0
461,fa20
462,fa90
463,fb00
464,fb80
465,fbf0
466,fc60
467,fcd0
468,fd40
469,fdb0
470,fdc0
471,fdf0
472,fe60
473,fee0
474,ff60
475,ffe0
476,10050
477,10070
478,100a0
479,100e0
480,10100
481,10130
482,101a0
483,10210
484,10280
485,102f0
486,10360
487,103d0
488,10450
489,104d0
490,10550
491,105d0
492,10650
493,106d0
494,10750
495,107c0
496,10830
497,10840
498,10870
499,10880
500,10890
501,10900
502,10970
503,109e0
504,109f0
505,10a20
506,10aa0
507,10ab0
508,10ac0
509,10ad0
510,10b10
511,10b40
512,10bc0
513,10c40
514,10cc0
515,10d40
516,10dc0
517,10e40
518,10ec0
519,10f40
520,10fc0
521,11040
522,110c0
523,11140
524,111c0
525,11240
526,112b0
527,11320
528,11390
529,11400
530,11470
531,114e0
532,11550
533,115c0
534,11630
535,116a0
536,11710
537,11780
538,117f0
539,11860
540,118d0
541,11940
542,119b0
543,11a20
544,11a90
545,11b00
546,11b70
547,11be0
548,11c50
549,11cc0
550,11d30
551,11da0
552,11e10
553,11e80
554,11ef0
555,11f60
556,11fd0
557,12040
558,120b0
559,12120
560,12190
561,12200
562,12230
563,12260
564,122d0
565,12340
566,123c0
567,12430
568,124a0
569,124c0
570,124f0
571,12520
572,12550
573,125c0
574,12620
575,12630
576,12640
577,12660
578,12680
579,126f0
580,12770
581,127f0
582,12870
583,128a0
584,12920
585,12960
586,12980
587,12990
588,129c0
589,12a30
590,12ab0
591,12b30
592,12bb0
593,12c30
594,12cb0
595,12d30
596,12db0
597,12e30
598,12eb0
599,12f30
600,12fb0
601,13030
602,130b0
603,13130
604,131a0
605,13210
606,13280
607,132f0
608,13360
609,133d0
610,13440
611,134b0
612,13520
613,13590
614,13600
615,13670
616,136e0
617,13750
618,137c0
619,13830
620,138a0
621,13910
622,13980
623,139f0
624,13a60
625,13ad0
626,13b40
627,13bb0
628,13c20
629,13c90
630,13d00
631,13d70
632,13de0
633,13e50
634,13ec0
635,13f30
636,13fa0
637,14010
638,14080
639,140f0
640,14160
641,141d0
642,14240
643,142b0
644,14320
645,14390
646,14400
647,14470
648,144e0
649,14550
650,145c0
651,14630
652,146a0
653,14710
654,14780
655,147f0
656,14860
657,14890
658,148c0
659,148f0
660,14920
661,14950
662,14980
663,149b0
664,149e0
665,14a10
666,14a40
667,14a70
668,14aa0
669,14ad0
670,14b00
671,14b30
672,14b60
673,14b90
674,14bc0
675,14bf0
676,14c20
677,14c50
678,14c80
679,14cb0
680,14ce0
681,14d10
682,14d40
683,14d70
684,14da0
685,14dd0
686,14e00
687,14e30
688,14e60
689,14e90
690,14ec0
691,14ef0
692,14f20
693,14f50
694,14f80
695,14fb0
696,14fe0
697,15010
698,15040
699,15070
700,150a0
701,150d0
702,15100
703,15130
704,15160
705,15190
706,151c0
707,151f0
708,15220
709,15250
710,15280
711,152b0
712,152e0
713,15310
714,15340
715,15370
716,153a0
717,153d0
718,15400
719,15430
720,15460
721,15490
722,154c0
723,154f0
724,15520
725,15550
726,15580
727,155b0
728,155e0
729,15610
730,15640
731,15670
732,156a0
733,156d0
734,15700
735,15730
736,15760
737,15790
738,157c0
739,157f0
740,15820
741,15850
742,15880
743,158b0
744,158e0
745,15910
746,15940
747,15970
748,159a0
749,159d0
750,15a00
751,15a30
752,15a60
753,15a90
754,15ac0
755,15af0
756,15b20
757,15b50
758,15b80
759,15bb0
760,15be0
761,15c10
762,15c40
763,15c70
764,15ca0
765,15cd0
766,15d00
767,15d30
768,15d50
769,15d90
770,15dd0
771,15e10
772,15e50
773,15e90
774,15ed0
775,15f00
776,15f80
777,16000
778,16040
779,16070
780,160b0
781,160e0
782,16120
783,16160
784,161a0
785,161d0
786,16250
787,162d0
788,16350
789,163d0
790,16450
791,16490
792,164d0
793,16510
794,16590
795,16600
796,16640
797,16680
798,16690
799,166c0
800,16740
801,167c0
802,16800
803,16840
804,16870
805,168b0
806,16930
807,16970
808,169b0
809,16a20
810,16a60
811,16ad0
812,16b10
813,16b50
814,16bc0
815,16c30
816,16ca0
817,16d20
818,16da0
819,16e20
820,16ea0
821,16f20
822,16f50
823,17000
824,17070
825,170e0
826,17150
827,171d0
828,17210
829,17240
830,17250
831,17260
832,172a0
833,172e0
834,17310
835,17380
836,173c0
837,173f0
838,17460
839,174d0
840,17540
841,175b0
842,17620
843,17690
844,176d0
845,17740
846,177b0
847,17820
848,17860
849,178a0
850,178d0
851,17900
852,17930
853,17960
854,17990
855,179c0
856,179f0
857,17a20
858,17a50
859,17a80
860,17ab0
861,17ae0
862,17b10
863,17b40
864,17b70
865,17ba0
866,17bd0
867,17c00
868,17c30
869,17c60
870,17c90
871,17cc0
872,17cf0
873,17d20
874,17d50
875,17dd0
876,17e50
877,17ed0
878,17f50
879,17fd0
880,18050
881,18090
882,18100
883,18140
884,18180
885,181c0
886,181f0
887,18220
888,18250
889,182c0
890,18330
891,183a0
892,18420
893,184a0
894,18520
895,185a0
896,18620
897,186a0
898,18720
899,187a0
900,18820
901,188a0
902,18920
903,189a0
904,18a20
905,18aa0
906,18b20
907,18ba0
908,18c20
909,18c60
910,18ca0
911,18d10
912,18d80
913,18df0
914,18e60
915,18ed0
916,18f40
917,18fb0
918,19020
919,19090
920,19100
921,19140
922,191c0
923,19200
924,19280
925,192f0
926,19360
927,193a0
928,193b0
929,193c0
930,193d0
931,193e0
932,193f0
933,19430
934,19470
935,194a0
936,194e0
937,19510
938,19550
939,19580
940,195f0
941,19620
942,19650
943,19690
944,196c0
945,19700
946,19720
947,19760
948,197a0
949,197e0
950,19820
951,19850
952,19890
953,19900
954,19970
955,199a0
956,19a10
957,19a80
958,19af0
959,19b60
960,19be0
961,19c60
962,19ce0
963,19d50
964,19dc0
965,19e30
966,19ea0
967,19f10
968,19f80
969,19ff0
970,1a020
971,1a050
972,1a090
973,1a0a0
974,1a0b0
975,1a120
976,1a1a0
977,1a220
978,1a290
979,1a300
980,1a370
981,1a3e0
982,1a450
983,1a490
984,1a500
985,1a510
986,1a580
987,1a5b0
988,1a620
989,1a690
990,1a700
991,1a780
992,1a7b0
993,1a7e0
994,1a810
995,1a840
996,1a870
997,1a8a0
998,1a8d0
999,1a900
1000,1a930
1001,1a960
1002,1a990
1003,1a9c0
1004,1a9f0
1005,1aa20
1006,1aa50
1007,1aa80
1008,1aab0
1009,1aae0
1010,1ab10
1011,1ab40
1012,1ab70
1013,1aba0
1014,1abd0
1015,1ac00
1016,1ac30
1017,1ac60
1018,1ac90
1019,1acc0
1020,1acf0
1021,1ad20
1022,1ad50
1023,1ad80
1024,1adb0
1025,1ade0
1026,1ae10
1027,1ae40
1028,1ae70
1029,1aea0
1030,1aed0
1031,1af00
1032,1af30
1033,1af60
1034,1af90
1035,1afc0
1036,1aff0
1037,1b020
1038,1b050
1039,1b080
1040,1b0b0
1041,1b0e0
1042,1b110
1043,1b140
1044,1b170
1045,1b1a0
1046,1b1d0
1047,1b200
1048,1b230
1049,1b260
1050,1b290
1051,1b2c0
1052,1b330
1053,1b3a0
1054,1b3d0
1055,1b440
1056,1b480
1057,1b4b0
1058,1b520
1059,1b590
1060,1b5c0
1061,1b640
1062,1b670
1063,1b6e0
1064,1b710
1065,1b740
1066,1b7b0
1067,1b820
1068,1b890
1069,1b8b0
1070,1b920
1071,1b950
1072,1b990
1073,1b9a0
1074,1b9d0
1075,1ba10
1076,1ba40
1077,1ba70
1078,1bae0
1079,1bb50
1080,1bbd0
1081,1bc00
1082,1bc30
1083,1bc60
1084,1bc80
1085,1bcc0
1086,1bcf0
1087,1bd30
1088,1bd70
1089,1bdb0
1090,1be30
1091,1beb0
1092,1bf30
1093,1bf70
1094,1bf80
1095,1bfc0
1096,1c000
1097,1c040
1098,1c080
1099,1c0b0
1100,1c0f0
1101,1c120
1102,1c160
1103,1c1a0
1104,1c1e0
1105,1c1f0
1106,1c230
1107,1c270
1108,1c2e0
1109,1c320
1110,1c440
1111,1c560
1112,1c5e0
1113,1c660
1114,1c6e0
1115,1c760
1116,1c880
1117,1c8c0
1118,1c900
1119,1c940
1120,1c980
1121,1c9c0
1122,1ca00
1123,1ca40
1124,1ca80
1125,1cba0
1126,1cbd0
1127,1cc10
1128,1cc20
1129,1cc30
1130,1cc40
1131,1cc70
1132,1ccb0
1133,1ccf0
1134,1cd30
1135,1cd70
1136,1cdb0
1137,1cde0
1138,1ce20
1139,1ce30
1140,1ce40
1141,1ce50
1142,1ce60
1143,1ce90
1144,1cec0
1145,1cf40
1146,1cf80
1147,1cf90
1148,1cfc0
1149,1cff0
1150,1d020
1151,1d050
1152,1d080
1153,1d0b0
1154,1d0e0
1155,1d110
1156,1d140
1157,1d170
1158,1d1a0
1159,1d1d0
1160,1d200
1161,1d230
1162,1d260
1163,1d290
1164,1d2c0
1165,1d2f0
1166,1d320
1167,1d350
1168,1d380
1169,1d3b0
1170,1d3e0
1171,1d410
1172,1d440
1173,1d470
1174,1d4b0
1175,1d4f0
1176,1d530
1177,1d560
1178,1d590
1179,1d5c0
1180,1d5f0
1181,1d620
1182,1d650
1183,1d680
1184,1d6b0
1185,1d6e0
1186,1d710
1187,1d740
1188,1d770
1189,1d7a0
1190,1d7d0
1191,1d800
1192,1d830
1193,1d860
1194,1d890
1195,1d8c0
1196,1d8f0
1197,1d920
1198,1d950
1199,1d980
1200,1d9b0
1201,1d9e0
1202,1da10
1203,1da40
1204,1da70
1205,1daa0
1206,1dad0
1207,1db00
1208,1db30
1209,1db60
1210,1db90
1211,1dbc0
1212,1dbf0
1213,1dc20
1214,1dc50
1215,1dc80
1216,1dcb0
1217,1dce0
1218,1dd10
1219,1dd40
1220,1dd70
1221,1dda0
1222,1ddd0
1223,1de00
1224,1de30
1225,1de60
1226,1de90
1227,1dec0
1228,1def0
1229,1df20
1230,1df50
1231,1df80
1232,1dfb0
1233,1e030
1234,1e0b0
1235,1e130
1236,1e1b0
1237,1e230
1238,1e2b0
1239,1e330
1240,1e3b0
1241,1e430
1242,1e4b0
1243,1e530
1244,1e5b0
1245,1e5f0
1246,1e630
1247,1e670
1248,1e6b0
1249,1e6f0
1250,1e730
1251,1e760
1252,1ea80
1253,1eac0
1254,1eaf0
1255,1eb30
1256,1eb70
1257,1ebb0
1258,1ebe0
1259,1ebf0
1260,1ec30
1261,1ec70
1262,1ecb0
1263,1ecc0
1264,1ed00
1265,1ed40
1266,1ed80
1267,1edc0
1268,1ee40
1269,1eec0
1270,1ef00
1271,1ef80
1272,1f000
1273,1f010
1274,1f020
1275,1f030
1276,1f040
1277,1f050
1278,1f060
1279,1f070
1280,1f080
1281,1f0b0
1282,1f0c0
1283,1f100
1284,1f140
1285,1f170
1286,1f1e0
1287,1f220
1288,1f290
1289,1f2d0
1290,1f340
1291,1f380
1292,1f3c0
1293,1f400
1294,1f440
1295,1f480
1296,1f4c0
1297,1f500
1298,1f540
1299,1f580
1300,1f5c0
1301,1f600
1302,1f670
1303,1f6b0
1304,1f6e0
1305,1f6f0
1306,1f700
1307,1f780
1308,1f7c0
1309,1f7d0
1310,1f810
1311,1f850
1312,1f890
1313,1f8d0
1314,1f910
1315,1f950
1316,1f990
1317,1f9b0
1318,1f9f0
1319,1fa20
1320,1fa30
1321,1fa40
1322,1fab0
1323,1fb30
1324,1fbb0
1325,1fc20
1326,1fc90
1327,1fd00
1328,1fd70
1329,1fde0
1330,1fe50
1331,1fec0
1332,1ff30
1333,1ff70
1334,1ffe0
1335,20050
1336,200c0
1337,20130
1338,201a0
1339,20210
1340,20280
1341,202f0
1342,20360
1343,203d0
1344,20440
1345,204b0
1346,20520
1347,20590
1348,205c0
1349,205f0
1350,20620
1351,20650
1352,20680
1353,206b0
1354,206e0
1355,20710
1356,20740
1357,20770
1358,207a0
1359,207d0
1360,20800
1361,20830
1362,20860
1363,20890
1364,208c0
1365,208f0
1366,20920
1367,20950
1368,20980
1369,209b0
1370,209e0
1371,20a10
1372,20a20
1373,20a30
1374,20a40
1375,20a80
1376,20b40
1377,20c00
1378,20c70
1379,20cb0
1380,20ce0
1381,20d10
1382,20d40
1383,20d70
1384,20da0
1385,20dd0
1386,20e00
1387,20e30
1388,20e60
1389,20e90
1390,20ec0
1391,20ef0
1392,20f20
1393,20f50
1394,20f80
1395,20fb0
1396,20fe0
1397,21010
1398,21040
1399,21070
1400,210a0
1401,210d0
1402,21100
1403,21130
1404,21160
1405,21190
1406,211c0
1407,211f0
1408,21220
1409,21250
1410,21280
1411,212b0
1412,212e0
1413,21310
1414,21340
1415,21370
1416,213a0
1417,213d0
1418,21400
1419,21430
1420,21460
1421,21490
1422,214c0
1423,214f0
1424,21520
1425,21550
1426,21580
1427,215b0
1428,215e0
1429,21610
1430,21640
1431,21670
1432,216a0
1433,216d0
1434,21700
1435,21730
1436,21770
1437,21780
1438,217f0
1439,21800
1440,21830
1441,21860
1442,218e0
1443,21960
1444,219e0
1445,21a60
1446,21aa0
1447,21b10
1448,21b80
1449,21bf0
1450,21c60
1451,21cd0
1452,21ce0
1453,21cf0
1454,21d60
1455,21d90
1456,21da0
1457,21db0
1458,21dc0
1459,21dd0
1460,21e10
1461,21e20
1462,21e90
1463,21f00
1464,21f70
1465,21fe0
1466,22050
1467,22060
1468,220d0
1469,22100
1470,22120
1471,22140
1472,22160
1473,221e0
1474,22260
1475,222e0
1476,22360
1477,223e0
1478,22460
1479,224e0
1480,22560
1481,225e0
1482,22660
1483,226e0
1484,22760
1485,227e0
1486,22860
1487,228e0
1488,22960
1489,229e0
1490,22a60
1491,22ae0
1492,22b60
1493,22be0
1494,22c60
1495,22cd0
1496,22d40
1497,22db0
1498,22e20
1499,22ea0
1500,22ed0
1501,22f40
1502,22fc0
1503,23040
1504,23050
1505,23070
1506,23080
1507,23100
1508,23180
1509,231f0
1510,23270
1511,232f0
1512,23370
1513,233e0
1514,23450
1515,234c0
1516,234f0
1517,23520
1518,235a0
1519,235d0
1520,23620
1521,23630
1522,23660
1523,236d0
1524,23750
1525,23780
1526,237b0
1527,237e0
1528,23810
1529,23840
1530,23870
1531,238a0
1532,238d0
1533,23900
1534,23930
1535,23960
1536,23990
1537,239c0
1538,239f0
1539,23a20
1540,23a50
1541,23a80
1542,23ab0
1543,23ae0
1544,23b10
1545,23b40
1546,23b70
1547,23ba0
1548,23bd0
1549,23c00
1550,23c30
1551,23c60
1552,23c90
1553,23cc0
1554,23cf0
1555,23d20
1556,23d50
1557,23d80
1558,23db0
1559,23de0
1560,23e10
1561,23e40
1562,23e70
1563,23ea0
1564,23ed0
1565,23f00
1566,23f30
1567,23f60
1568,23f90
1569,23fc0
1570,23ff0
1571,24020
1572,24050
1573,24080
1574,240b0
1575,240e0
1576,24110
1577,24140
1578,24170
1579,241a0
1580,241d0
1581,24250
1582,24260
1583,24290
1584,24300
1585,24370
1586,243f0
1587,24470
1588,244f0
1589,24570
1590,24590
1591,24610
1592,24690
1593,24710
1594,24790
1595,24810
1596,24890
1597,24910
1598,24990
1599,24a10
1600,24a90
1601,24b10
1602,24b90
1603,24c10
1604,24c90
1605,24d10
1606,24d90
1607,24e10
1608,24e90
