sse,vr
0x141992C10,0x141A33D38
0x141992C20,0x141A33D48
0x141992BF8,0x141A33D20
0x14191A990,0x1419BE570
0x14191A9B0,0x1419BE590
0x14191A978,0x1419BE558
0x14191AA18,0x1419BE5F8
0x14191AA38,0x1419BE618
0x14191AA00,0x1419BE5E0
0x14191AAA0,0x1419BE680
0x14191AAC0,0x1419BE6A0
0x14191AA88,0x1419BE668
0x141919190,0x1419BCED8
0x1419191B0,0x1419BCEF8
0x141919178,0x1419BCEC0
0x141916D38,0x1419BAA30
0x141916D50,0x1419BAA48
0x141916D20,0x1419BAA18
0x141924620,0x1419C80B0
0x141924638,0x1419C80C8
0x141924608,0x1419C8098
0x1419246A0,0x1419C8130
0x1419246B8,0x1419C8148
0x141924688,0x1419C8118
0x1418BDB20,0x141960960
0x1418BDB38,0x141960978
0x1418BDB08,0x141960948
0x14187FB98,0x141921FB8
0x14187FBB0,0x141921FD0
0x14187FB80,0x141921FA0
0x1418C5D80,0x141969148
0x1418C5D98,0x141969160
0x1418C5D68,0x141969130
0x1418C5D00,0x1419690C8
0x1418C5D18,0x1419690E0
0x1418C5CE8,0x1419690B0
0x1418C5C80,0x141969048
0x1418C5C98,0x141969060
0x1418C5C68,0x141969030
0x14188B4A8,0x14192D848
0x14188B4C0,0x14192D860
0x14188B490,0x14192D830
0x141950470,0x1419F41B0
0x141950488,0x1419F41C8
0x141950458,0x1419F4198
0x1418BFC90,0x141962C50
0x1418BFCA8,0x141962C68
0x1418BFC78,0x141962C38
0x141942C90,0x1419E64E0
0x141942CD8,0x1419E6528
0x141942C70,0x1419E64C0
0x141924520,0x1419C7FB0
0x141924538,0x1419C7FC8
0x141924508,0x1419C7F98
0x141919BA0,0x1419BD948
0x141919BC0,0x1419BD968
0x141919B88,0x1419BD930
0x1418C5E00,0x1419691C8
0x1418C5E18,0x1419691E0
0x1418C5DE8,0x1419691B0
0x1418C8E60,0x14196C230
0x1418C8E78,0x14196C248
0x1418C8E48,0x14196C218
0x1418BCBA0,0x14195EE60
0x1418BCBB8,0x14195EE78
0x1418BCB88,0x14195EE48
0x1418BD710,0x14195FA50
0x1418BD728,0x14195FA68
0x1418BD6F8,0x14195FA38
0x1418BD9A0,0x14195FCE0
0x1418BD9B8,0x14195FCF8
0x1418BD988,0x14195FCC8
0x1418C9060,0x14196C430
0x1418C9078,0x14196C448
0x1418C9048,0x14196C418
0x1418BDC20,0x141960A60
0x1418BDC38,0x141960A78
0x1418BDC08,0x141960A48
0x141944BB8,0x1419E8408
0x141944BD0,0x1419E8420
0x141944BA0,0x1419E83F0
0x1419249A0,0x1419C8430
0x1419249C0,0x1419C8450
0x141924988,0x1419C8418
0x14191DCD0,0x1419C16D8
0x14191DCF0,0x1419C16F8
0x14191DCB8,0x1419C16C0
0x14191E9A8,0x1419C2438
0x14191E9C8,0x1419C2458
0x14191E990,0x1419C2420
0x14191E6B8,0x1419C2148
0x14191E6D8,0x1419C2168
0x14191E6A0,0x1419C2130
0x14191DD58,0x1419C1760
0x14191DD78,0x1419C1780
0x14191DD40,0x1419C1748
0x14191E228,0x1419C1CB8
0x14191E1E8,0x1419C1C78
0x14191E210,0x1419C1CA0
0x14191E120,0x1419C1BB0
0x14191E0E0,0x1419C1B70
0x14191E108,0x1419C1B98
0x14191E330,0x1419C1DC0
0x14191E2F0,0x1419C1D80
0x14191E318,0x1419C1DA8
0x14191E2A8,0x1419C1D38
0x14191E2C8,0x1419C1D58
0x14191E290,0x1419C1D20
0x14191E1A0,0x1419C1C30
0x14191E1C0,0x1419C1C50
0x14191E188,0x1419C1C18
0x14191E098,0x1419C1B28
0x14191E0B8,0x1419C1B48
0x14191E080,0x1419C1B10
0x1418BBDF8,0x14195DEC0
0x1418BBE10,0x14195DED8
0x1418BBDE0,0x14195DEA8
0x141969CC0,0x141A0E020
0x141969CD8,0x141A0E038
0x141969CA8,0x141A0E008
0x141891F78,0x141934318
0x141891F90,0x141934330
0x141891F60,0x141934300
0x14196C360,0x141A106C0
0x14196C378,0x141A106D8
0x14196C348,0x141A106A8
