sseid,sse_addr
2,1400010d0
3,140001160
4,1400011cc
5,140001258
6,140001294
7,1400012fc
8,140001328
9,14000135c
10,1400013dc
11,140001414
12,14000144c
13,140001508
14,1400015c8
15,140001684
16,1400016e4
17,140001794
18,14000184c
19,14000186c
20,140001884
21,1400018f8
22,1400019d0
23,140001a04
24,140001a2c
25,140001f64
26,140001f9c
27,140001fd8
28,140002078
29,140002108
30,14000228c
31,1400022e0
32,140002398
33,140002850
34,140002a14
35,140002a78
36,140002b8c
37,140002c08
38,140002cf0
39,140002fc4
40,14000307c
41,140003174
42,140003268
43,1400032e8
44,1400033e4
45,1400034e0
47,1400035c0
48,140003c40
49,1400046a0
50,140004b70
51,140005080
53,14000547c
54,140005670
55,140005c10
56,1400064d0
57,140006890
58,140006c90
60,14000702c
61,1400071e0
62,140007704
63,140007830
64,140007870
65,1400078a0
66,1400078e0
67,140007950
68,1400079c0
69,140007a30
70,140007aa0
71,140007b10
72,140007b80
73,140007bf0
74,140007c60
75,140007cd0
76,140007d40
77,140007db0
78,140007e20
79,140007e90
80,140007f00
81,140007f70
82,140007fe0
83,140008050
84,1400080c0
85,1400080f0
86,140008130
87,140008140
88,140008180
89,140008190
90,140008200
91,140008270
92,1400082e0
93,140008360
94,1400083a0
95,1400083d0
96,140008410
97,140008440
98,1400084c0
99,140008540
100,1400085c0
101,140008640
102,1400086c0
103,140008740
104,1400087c0
105,140008840
106,1400088c0
107,140008940
108,1400089c0
109,140008a40
110,140008ab0
111,140008b20
112,140008b90
113,140008c00
114,140008c70
115,140008ce0
116,140008d50
117,140008dc0
118,140008e30
119,140008ea0
120,140008f10
121,140008f80
122,140008ff0
123,140009060
124,1400090d0
125,140009140
126,1400091b0
127,140009220
128,140009290
129,140009300
130,140009370
131,1400093e0
132,140009450
133,1400094c0
134,140009530
135,1400095a0
136,140009610
137,140009680
138,1400096f0
139,140009760
140,1400097d0
141,140009840
142,1400098b0
143,140009920
144,140009990
145,140009a00
146,140009a70
147,140009ae0
148,140009b50
149,140009bc0
150,140009c30
151,140009ca0
152,140009d10
153,140009d80
154,140009dc0
155,140009e00
156,140009e30
157,140009ea0
158,140009f20
159,140009fa0
160,14000a020
161,14000a0a0
162,14000a120
163,14000a1a0
164,14000a220
165,14000a2a0
166,14000a320
167,14000a3a0
168,14000a420
169,14000a4a0
170,14000a520
171,14000a590
172,14000a600
173,14000a670
174,14000a6e0
175,14000a750
176,14000a7c0
177,14000a830
178,14000a8a0
179,14000a910
180,14000a980
181,14000a9f0
182,14000aa60
183,14000aad0
184,14000ab40
185,14000abb0
186,14000ac20
187,14000ac90
188,14000ad00
189,14000ad70
190,14000ade0
191,14000ae50
192,14000aec0
193,14000af30
194,14000afa0
195,14000afd0
196,14000b050
197,14000b0d0
198,14000b140
199,14000b1b0
200,14000b220
201,14000b290
202,14000b300
203,14000b340
204,14000b370
205,14000b3e0
206,14000b450
207,14000b4c0
208,14000b530
209,14000b5a0
210,14000b610
211,14000b680
212,14000b6f0
213,14000b770
214,14000b7f0
215,14000b870
216,14000b8f0
217,14000b970
218,14000b9f0
219,14000ba70
220,14000baf0
221,14000bb70
222,14000bbf0
223,14000bc70
224,14000bcf0
225,14000bd70
226,14000bdf0
227,14000be70
228,14000bef0
229,14000bf70
230,14000bff0
231,14000c070
232,14000c0f0
233,14000c170
234,14000c1e0
235,14000c270
236,14000c2e0
237,14000c350
238,14000c3c0
239,14000c430
240,14000c4a0
241,14000c510
242,14000c580
243,14000c5f0
244,14000c660
245,14000c6d0
246,14000c740
247,14000c7b0
248,14000c820
249,14000c890
250,14000c900
251,14000c970
252,14000c9e0
253,14000ca50
254,14000cac0
255,14000cb30
256,14000cba0
257,14000cc10
258,14000cc80
259,14000ccf0
260,14000cd20
261,14000cd50
262,14000cd80
263,14000cdb0
264,14000cde0
265,14000ce10
266,14000ce40
267,14000ce70
268,14000cea0
269,14000ced0
270,14000cf00
271,14000cf30
272,14000cf60
273,14000cf90
274,14000cfc0
275,14000cff0
276,14000d020
277,14000d050
278,14000d080
279,14000d0b0
280,14000d0e0
281,14000d110
282,14000d140
283,14000d170
284,14000d1a0
285,14000d1d0
286,14000d200
287,14000d230
288,14000d260
289,14000d290
290,14000d2c0
291,14000d2f0
292,14000d320
293,14000d350
294,14000d380
295,14000d3b0
296,14000d3e0
297,14000d410
298,14000d440
299,14000d470
300,14000d4a0
301,14000d4d0
302,14000d500
303,14000d530
304,14000d560
305,14000d590
306,14000d5c0
307,14000d5f0
308,14000d620
309,14000d650
310,14000d680
311,14000d6b0
312,14000d6e0
313,14000d710
314,14000d740
315,14000d770
316,14000d7e0
317,14000d850
318,14000d860
319,14000d870
320,14000d880
321,14000d890
322,14000d8a0
323,14000d950
324,14000d980
325,14000d9f0
326,14000da60
327,14000dad0
328,14000db40
329,14000dbb0
330,14000dc20
331,14000dc90
332,14000dd00
333,14000dd70
334,14000dde0
335,14000de50
336,14000dec0
337,14000df30
338,14000df70
339,14000dfe0
340,14000e050
341,14000e0c0
342,14000e130
343,14000e1a0
344,14000e1e0
345,14000e220
346,14000e290
347,14000e2d0
348,14000e340
349,14000e3b0
350,14000e3e0
351,14000e410
352,14000e450
353,14000e490
354,14000e500
355,14000e580
356,14000e600
357,14000e680
358,14000e700
359,14000e770
360,14000e7f0
361,14000e870
362,14000e8e0
363,14000e960
364,14000e9e0
365,14000ea60
366,14000eae0
367,14000eb60
368,14000eb90
369,14000ebd0
370,14000ebe0
371,14000ebf0
372,14000ec20
373,14000ec90
374,14000ecd0
375,14000ed10
376,14000ed50
377,14000edd0
378,14000ee50
379,14000eed0
380,14000ef50
381,14000efd0
382,14000f050
383,14000f0d0
384,14000f150
385,14000f1d0
386,14000f200
387,14000f270
388,14000f2e0
389,14000f310
390,14000f340
391,14000f3b0
392,14000f420
393,14000f490
394,14000f500
395,14000f570
396,14000f5e0
397,14000f650
398,14000f690
399,14000f6d0
400,14000f710
401,14000f750
402,14000f790
403,14000f7d0
404,14000f840
405,14000f870
406,14000f880
407,14000f8b0
408,14000f8e0
409,14000f950
410,14000f9c0
411,14000fa30
412,14000faa0
413,14000fb10
